dataset,run,gap,gap_seed,method,short_name,lead,far_preonset_pct,valid
IMS,3rd_test,0.0,-1,Hotelling T²,hotelling_t2,315.85,4.845814977973569,True
IMS,3rd_test,0.0,-1,Isolation Forest,isolation_forest,59.666666666666664,0.881057268722467,True
IMS,3rd_test,0.05,101,RMS-Trend (kσ),rms_trend,9.666666666666666,0.0,True
IMS,3rd_test,0.05,101,3σ Rule (σ=3.0),three_sigma,28.833333333333332,0.0,True
IMS,3rd_test,0.05,101,"EWMA (λ=0.2, k=3.0)",ewma,28.0,0.0,True
IMS,3rd_test,0.05,101,"CUSUM (k=0.5, h=5.0)",cusum,26.333333333333332,0.0,True
IMS,3rd_test,0.05,101,Hotelling T²,hotelling_t2,315.85,4.845814977973569,True
IMS,3rd_test,0.05,101,Isolation Forest,isolation_forest,59.666666666666664,0.881057268722467,True
IMS,3rd_test,0.05,102,RMS-Trend (kσ),rms_trend,9.666666666666666,0.0,True
IMS,3rd_test,0.05,102,3σ Rule (σ=3.0),three_sigma,29.666666666666668,0.0,True
IMS,3rd_test,0.05,102,"EWMA (λ=0.2, k=3.0)",ewma,28.0,0.0,True
IMS,3rd_test,0.05,102,"CUSUM (k=0.5, h=5.0)",cusum,26.333333333333332,0.0,True
IMS,3rd_test,0.05,102,Hotelling T²,hotelling_t2,315.85,4.845814977973569,True
IMS,3rd_test,0.05,102,Isolation Forest,isolation_forest,59.666666666666664,0.881057268722467,True
IMS,3rd_test,0.05,103,RMS-Trend (kσ),rms_trend,9.666666666666666,0.0,True
IMS,3rd_test,0.05,103,3σ Rule (σ=3.0),three_sigma,28.833333333333332,0.0,True
IMS,3rd_test,0.05,103,"EWMA (λ=0.2, k=3.0)",ewma,28.0,0.0,True
IMS,3rd_test,0.05,103,"CUSUM (k=0.5, h=5.0)",cusum,26.333333333333332,0.0,True
IMS,3rd_test,0.05,103,Hotelling T²,hotelling_t2,315.85,4.845814977973569,True
IMS,3rd_test,0.05,103,Isolation Forest,isolation_forest,59.666666666666664,0.881057268722467,True
IMS,3rd_test,0.05,104,RMS-Trend (kσ),rms_trend,9.666666666666666,0.0,True
