dataset,method,short_name,percentile,lead_time_hours_mean,lead_time_hours_std,far_preonset_pct_mean,far_preonset_pct_std,valid_frac,n_runs
IMS,Deep SVDD,deep_svdd,99.5,2.6666666666666665,4.618802153517007,0.0,0.0,0.3333333333333333,3
IMS,Deep SVDD,deep_svdd,99.9,1.0,1.7320508075688772,0.0,0.0,0.3333333333333333,3
IMS,"EWMA (λ=0.2, k=3.0)",ewma,90.0,174.8051851851852,131.22263166900717,24.626440617630042,35.124758160472275,0.6666666666666666,3
IMS,"EWMA (λ=0.2, k=3.0)",ewma,92.5,89.41074074074074,54.43052157956846,22.295198682863884,36.35139458683402,0.6666666666666666,3
IMS,"EWMA (λ=0.2, k=3.0)",ewma,95.0,89.13296296296296,54.685260053127564,22.148355804743474,36.47116473959518,0.6666666666666666,3
IMS,"EWMA (λ=0.2, k=3.0)",ewma,97.5,78.5774074074074,65.25209811993403,21.21212121212121,36.74047167570345,0.6666666666666666,3
IMS,"EWMA (λ=0.2, k=3.0)",ewma,99.0,78.29962962962962,65.57602938605808,21.010101010101007,36.390562421649136,0.6666666666666666,3
IMS,"EWMA (λ=0.2, k=3.0)",ewma,99.5,78.29962962962962,65.57602938605808,21.010101010101007,36.390562421649136,0.6666666666666666,3
IMS,"EWMA (λ=0.2, k=3.0)",ewma,99.9,78.29962962962962,65.57602938605808,20.80808080808081,36.040653167594826,0.6666666666666666,3
IMS,Hotelling T²,hotelling_t2,90.0,187.8051851851852,141.70584878775625,44.43443243002714,29.836499602983775,0.0,3
IMS,Hotelling T²,hotelling_t2,92.5,178.86074074074077,133.8341381385023,30.263872202198197,41.50271805172952,0.3333333333333333,3
IMS,Hotelling T²,hotelling_t2,95.0,176.9162962962963,130.72791336874025,28.134650469452236,42.95315310517674,0.6666666666666666,3
IMS,Hotelling T²,hotelling_t2,97.5,174.8051851851852,131.22263166900717,23.433453477506344,36.471901635468285,0.6666666666666666,3
IMS,Hotelling T²,hotelling_t2,99.0,82.74407407407408,58.44426922590267,20.80808080808081,36.040653167594826,0.6666666666666666,3
IMS,Hotelling T²,hotelling_t2,99.5,73.92185185185186,43.31598356854301,18.98989898989899,32.89146988110595,0.6666666666666666,3
IMS,Hotelling T²,hotelling_t2,99.9,65.8662962962963,50.70509069742154,18.98989898989899,32.89146988110595,0.6666666666666666,3
IMS,Isolation Forest,isolation_forest,90.0,185.3051851851852,144.2130573630272,29.65870155297468,44.3197411457328,0.6666666666666666,3
IMS,Isolation Forest,isolation_forest,92.5,174.6940740740741,133.8226011117433,27.290526409469138,44.62465998292087,0.6666666666666666,3
IMS,Isolation Forest,isolation_forest,95.0,174.6940740740741,133.8226011117433,27.07026209228852,44.80515068247226,0.6666666666666666,3
IMS,Isolation Forest,isolation_forest,97.5,87.1885185185185,56.55097296794635,24.53610999866507,41.737096081652,0.6666666666666666,3
IMS,Isolation Forest,isolation_forest,99.0,75.79962962962962,66.88270468212771,20.606060606060606,35.690743913540494,0.6666666666666666,3
IMS,Isolation Forest,isolation_forest,99.5,53.3662962962963,61.16365206349973,19.7979797979798,34.29110689732323,0.6666666666666666,3
IMS,Isolation Forest,isolation_forest,99.9,40.69962962962963,67.2014007269996,16.767676767676768,29.04246808650845,0.3333333333333333,3
IMS,RMS-Trend (kσ),rms_trend,90.0,39.91074074074074,48.292875919839915,8.080808080808081,13.996370162172745,0.6666666666666666,3
IMS,RMS-Trend (kσ),rms_trend,92.5,36.41074074074074,50.894642570577425,7.676767676767677,13.296551654064109,0.3333333333333333,3
IMS,RMS-Trend (kσ),rms_trend,95.0,34.74407407407407,51.35429598836796,4.646464646464647,8.04791284324933,0.3333333333333333,3
IMS,RMS-Trend (kσ),rms_trend,97.5,3.222222222222222,5.581052602166382,0.0,0.0,0.3333333333333333,3
IMS,RMS-Trend (kσ),rms_trend,99.0,1.277777777777778,2.2131760318935654,0.0,0.0,0.3333333333333333,3
IMS,RMS-Trend (kσ),rms_trend,99.5,1.277777777777778,2.2131760318935654,0.0,0.0,0.3333333333333333,3
IMS,RMS-Trend (kσ),rms_trend,99.9,0.0,0.0,0.0,0.0,0.0,3
