timestamp,hours_from_start,health_indicator
2023-11-08 23:38:51,12.239167,0.414383
2023-11-08 23:39:01,12.241944,0.336853
2023-11-08 23:39:10,12.244444,0.078417
2023-11-08 23:39:20,12.247222,0.181792
2023-11-08 23:39:31,12.250278,0.181792
2023-11-08 23:39:41,12.253056,0.517757
2023-11-08 23:39:50,12.255556,0.285166
2023-11-08 23:40:01,12.258611,-0.128331
2023-11-08 23:40:11,12.261389,-0.0508
2023-11-08 23:40:20,12.263889,-0.464297
2023-11-08 23:40:30,12.266667,-0.335079
2023-11-08 23:40:41,12.269722,-0.231705
2023-11-08 23:40:51,12.2725,-0.360923
2023-11-08 23:41:00,12.275,-0.464297
2023-11-08 23:41:11,12.278056,-0.283392
2023-11-08 23:41:21,12.280833,-0.41261
2023-11-08 23:41:30,12.283333,-0.360923
2023-11-08 23:41:40,12.286111,-0.360923
2023-11-08 23:41:51,12.289167,-0.309236
2023-11-08 23:42:01,12.291944,-0.309236
2023-11-08 23:42:10,12.294444,-0.464297
2023-11-08 23:42:20,12.297222,-0.438453
2023-11-08 23:42:31,12.300278,-0.49014
2023-11-08 23:42:40,12.302778,-0.826106
2023-11-08 23:42:50,12.305556,-0.800263
2023-11-08 23:43:01,12.308611,-0.696889
2023-11-08 23:43:11,12.311389,-0.748576
2023-11-08 23:43:20,12.313889,-0.877793
2023-11-08 23:43:30,12.316667,-0.955324
2023-11-08 23:43:41,12.319722,-1.007011
2023-11-08 23:43:50,12.322222,-0.903637
2023-11-08 23:44:00,12.325,-0.774419
2023-11-08 23:44:11,12.328056,-0.541827
2023-11-08 23:44:21,12.330833,-0.593515
2023-11-08 23:44:30,12.333333,-0.438453
2023-11-08 23:44:40,12.336111,-0.335079
2023-11-08 23:44:51,12.339167,-0.41261
2023-11-08 23:45:01,12.341944,-0.645202
2023-11-08 23:45:10,12.344444,-0.335079
2023-11-08 23:45:21,12.3475,-0.645202
2023-11-08 23:45:31,12.350278,-0.360923
2023-11-08 23:45:40,12.352778,-0.102487
2023-11-08 23:45:50,12.355556,-0.360923
2023-11-08 23:46:01,12.358611,-0.464297
2023-11-08 23:46:11,12.361389,-0.567671
2023-11-08 23:46:20,12.363889,-0.515984
2023-11-08 23:46:31,12.366944,-0.309236
2023-11-08 23:46:41,12.369722,-0.283392
2023-11-08 23:46:50,12.372222,-0.335079
2023-11-08 23:47:00,12.375,-0.386766
2023-11-08 23:47:11,12.378056,-0.283392
2023-11-08 23:47:21,12.380833,-0.154174
2023-11-08 23:47:30,12.383333,-0.0508
2023-11-08 23:47:40,12.386111,-0.180018
2023-11-08 23:47:51,12.389167,-0.205862
2023-11-08 23:48:00,12.391667,0.259322
2023-11-08 23:48:10,12.394444,0.000887
2023-11-08 23:48:21,12.3975,0.181792
2023-11-08 23:48:31,12.400278,0.207635
2023-11-08 23:48:40,12.402778,0.078417
2023-11-08 23:48:50,12.405556,0.440227
2023-11-08 23:49:01,12.408611,0.285166
2023-11-08 23:49:10,12.411111,0.104261
2023-11-08 23:49:20,12.413889,0.130104
2023-11-08 23:49:31,12.416944,0.104261
2023-11-08 23:49:41,12.419722,0.02673
2023-11-08 23:49:50,12.422222,0.181792
2023-11-08 23:50:00,12.425,0.078417
2023-11-08 23:50:11,12.428056,0.130104
2023-11-08 23:50:21,12.430833,0.285166
2023-11-08 23:50:30,12.433333,0.285166
2023-11-08 23:50:41,12.436389,0.02673
2023-11-08 23:50:51,12.439167,0.078417
2023-11-08 23:51:00,12.441667,0.130104
2023-11-08 23:51:10,12.444444,-0.102487
2023-11-08 23:51:21,12.4475,-0.309236
2023-11-08 23:51:31,12.450278,-0.386766
2023-11-08 23:51:40,12.452778,-0.309236
2023-11-08 23:51:51,12.455833,-0.515984
2023-11-08 23:52:01,12.458611,-0.257549
2023-11-08 23:52:10,12.461111,-0.515984
2023-11-08 23:52:20,12.463889,0.02673
2023-11-08 23:52:31,12.466944,-0.283392
2023-11-08 23:52:41,12.469722,-0.386766
2023-11-08 23:52:50,12.472222,-0.41261
2023-11-08 23:53:00,12.475,-0.128331
2023-11-08 23:53:11,12.478056,-0.283392
2023-11-08 23:53:20,12.480556,-0.309236
2023-11-08 23:53:30,12.483333,-0.102487
