dataset,run,factor,group,n_features,method,short_name,lead_time_hours,far_preonset_pct,valid_alarm
IMS,2nd_test,10,rms_only,4,Isolation Forest,isolation_forest,0.0,0.0,False
IMS,2nd_test,10,time_only,20,3σ Rule (σ=3.0),three_sigma,72.7,100.0,False
IMS,2nd_test,10,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,72.7,100.0,False
IMS,2nd_test,10,time_only,20,Isolation Forest,isolation_forest,0.0,0.0,False
IMS,2nd_test,10,spectral_only,30,3σ Rule (σ=3.0),three_sigma,72.7,100.0,False
IMS,2nd_test,10,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,72.7,100.0,False
IMS,2nd_test,10,spectral_only,30,Isolation Forest,isolation_forest,0.0,0.0,False
IMS,2nd_test,10,all,50,3σ Rule (σ=3.0),three_sigma,72.7,100.0,False
IMS,2nd_test,10,all,50,"EWMA (λ=0.2, k=3.0)",ewma,72.7,100.0,False
IMS,2nd_test,10,all,50,Isolation Forest,isolation_forest,0.0,0.0,False
IMS,2nd_test,20,rms_only,3,3σ Rule (σ=3.0),three_sigma,64.36666666666666,,True
IMS,2nd_test,20,rms_only,3,"EWMA (λ=0.2, k=3.0)",ewma,64.36666666666666,,True
IMS,2nd_test,20,rms_only,3,Isolation Forest,isolation_forest,47.7,,True
IMS,2nd_test,20,time_only,20,3σ Rule (σ=3.0),three_sigma,64.36666666666666,,True
IMS,2nd_test,20,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,64.36666666666666,,True
IMS,2nd_test,20,time_only,20,Isolation Forest,isolation_forest,47.7,,True
IMS,2nd_test,20,spectral_only,30,3σ Rule (σ=3.0),three_sigma,64.36666666666666,,True
IMS,2nd_test,20,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,64.36666666666666,,True
IMS,2nd_test,20,spectral_only,30,Isolation Forest,isolation_forest,0.0,,False
IMS,2nd_test,20,all,50,3σ Rule (σ=3.0),three_sigma,64.36666666666666,,True
IMS,2nd_test,20,all,50,"EWMA (λ=0.2, k=3.0)",ewma,64.36666666666666,,True
IMS,2nd_test,20,all,50,Isolation Forest,isolation_forest,0.0,,False
IMS,3rd_test,1,rms_only,7,3σ Rule (σ=3.0),three_sigma,42.166666666666664,0.0,True
IMS,3rd_test,1,rms_only,7,"EWMA (λ=0.2, k=3.0)",ewma,34.666666666666664,0.0,True
IMS,3rd_test,1,rms_only,7,Isolation Forest,isolation_forest,29.666666666666668,0.0,True
IMS,3rd_test,1,time_only,20,3σ Rule (σ=3.0),three_sigma,28.833333333333332,0.0,True
IMS,3rd_test,1,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,28.833333333333332,0.0,True
IMS,3rd_test,1,time_only,20,Isolation Forest,isolation_forest,29.666666666666668,0.0,True
IMS,3rd_test,1,spectral_only,30,3σ Rule (σ=3.0),three_sigma,42.166666666666664,0.0,True
IMS,3rd_test,1,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,40.5,0.0,True
IMS,3rd_test,1,spectral_only,30,Isolation Forest,isolation_forest,33.833333333333336,0.0,True
IMS,3rd_test,1,all,50,3σ Rule (σ=3.0),three_sigma,42.166666666666664,0.0,True
IMS,3rd_test,1,all,50,"EWMA (λ=0.2, k=3.0)",ewma,39.666666666666664,0.0,True
IMS,3rd_test,1,all,50,Isolation Forest,isolation_forest,42.166666666666664,0.0,True
IMS,3rd_test,2,rms_only,8,3σ Rule (σ=3.0),three_sigma,29.033333333333335,0.0,True
IMS,3rd_test,2,rms_only,8,"EWMA (λ=0.2, k=3.0)",ewma,42.36666666666667,0.0,True
IMS,3rd_test,2,rms_only,8,Isolation Forest,isolation_forest,29.033333333333335,0.0,True
IMS,3rd_test,2,time_only,20,3σ Rule (σ=3.0),three_sigma,42.36666666666667,0.0,True
IMS,3rd_test,2,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,30.7,0.0,True
IMS,3rd_test,2,time_only,20,Isolation Forest,isolation_forest,60.7,1.3215859030837005,True
IMS,3rd_test,2,spectral_only,30,3σ Rule (σ=3.0),three_sigma,42.36666666666667,0.0,True
IMS,3rd_test,2,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,40.7,0.0,True
IMS,3rd_test,2,spectral_only,30,Isolation Forest,isolation_forest,35.7,0.0,True
IMS,3rd_test,2,all,50,3σ Rule (σ=3.0),three_sigma,42.36666666666667,0.0,True
IMS,3rd_test,2,all,50,"EWMA (λ=0.2, k=3.0)",ewma,40.7,0.0,True
IMS,3rd_test,2,all,50,Isolation Forest,isolation_forest,60.7,1.3215859030837005,True
IMS,3rd_test,5,rms_only,6,3σ Rule (σ=3.0),three_sigma,43.53333333333333,0.0,True
IMS,3rd_test,5,rms_only,6,"EWMA (λ=0.2, k=3.0)",ewma,51.86666666666667,0.0,True
IMS,3rd_test,5,rms_only,6,Isolation Forest,isolation_forest,31.033333333333335,0.0,True
IMS,3rd_test,5,time_only,20,3σ Rule (σ=3.0),three_sigma,43.53333333333333,0.0,True
IMS,3rd_test,5,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,39.36666666666667,0.0,True
IMS,3rd_test,5,time_only,20,Isolation Forest,isolation_forest,31.033333333333335,0.0,True
