dataset,short_name,method,metric,n_runs_with_lead,n_runs_tested,n_runs_excluded_unscoreable,run_diffs,median_diff_h,n_pos,n_neg,n_ties,n_effective,p_floor_two_sided,sign_test_p,all_same_sign,holm_p,holm_reject,family_size,indicator,median_shift_vs_rms_kurt_h,sign_pattern
ONGC,isolation_forest,Isolation Forest,raw,1,1,0,+0.1213,0.12127777777777737,1,0,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,1+/0-/0=
ONGC,lstm_ae,LSTM-Autoencoder,raw,1,1,0,-0.2632,-0.26322222222222535,0,1,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,0+/1-/0=
ONGC,one_class_svm,One-Class SVM (nu=0.05),raw,1,1,0,+0.0106,0.01055555555555543,1,0,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,1+/0-/0=
ONGC,rms_trend,RMS-Trend (kσ),raw,1,1,0,+0.0007,0.0007222222222225128,1,0,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,1+/0-/0=
ONGC,tcn,TCN-Autoencoder,raw,1,1,0,-0.1344,-0.13438888888889267,0,1,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,0+/1-/0=
ONGC,three_sigma,3σ Rule (σ=3.0),raw,1,1,0,+0.0106,0.01055555555555543,1,0,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,1+/0-/0=
ONGC,transformer_ad,Transformer-AD,raw,1,1,0,-0.0056,-0.005555555555559977,0,1,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,0+/1-/0=
XJTU-SY,cusum,"CUSUM (k=0.5, h=5.0)",raw,10,10,0,"+0.0000, -0.0200, +0.0000, +0.0000, +0.0000, +0.0500, -0.0333, +0.0000, +0.0000, +0.0000",0.0,1,2,7,3,0.25,1.0,False,1.0,False,44.0,rms_kurt,0.0,1+/2-/7=
XJTU-SY,deep_svdd,Deep SVDD,raw,10,10,0,"+0.0667, +0.0000, +0.0000, -0.1700, +0.0000, +0.0000, +0.1333, -0.0067, +0.0000, +0.1267",0.0,3,2,5,5,0.0625,1.0,False,1.0,False,44.0,rms_kurt,0.0,3+/2-/5=
XJTU-SY,ewma,"EWMA (λ=0.2, k=3.0)",raw,10,10,0,"+0.0000, -0.0333, +0.0000, +0.0000, +0.0000, -0.0167, +0.0133, +0.0133, +0.0000, +0.0000",0.0,2,2,6,4,0.125,1.0,False,1.0,False,44.0,rms_kurt,0.0,2+/2-/6=
XJTU-SY,hotelling_t2,Hotelling T²,raw,10,10,0,"+0.0000, +0.0333, +0.0000, +0.0000, +0.0000, +0.8433, +0.0000, +0.0000, +0.0000, +0.0000",0.0,2,0,8,2,0.5,0.5,True,1.0,False,44.0,rms_kurt,0.0,2+/0-/8=
XJTU-SY,isolation_forest,Isolation Forest,raw,10,10,0,"+0.0000, -0.0567, +0.0417, -0.1167, -0.2444, -0.1167, -0.2333, +0.0133, -0.0889, -0.2000",-0.10277777777777772,2,7,1,9,0.00390625,0.1796875,False,1.0,False,44.0,rms_kurt,0.0,2+/7-/1=
XJTU-SY,lstm_ae,LSTM-Autoencoder,raw,3,3,0,"+0.1667, +0.0000, +0.0000",0.0,1,0,2,1,1.0,1.0,True,1.0,False,44.0,rms_kurt,0.0,1+/0-/2=
XJTU-SY,one_class_svm,One-Class SVM (nu=0.05),raw,10,10,0,"+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0633, +0.0000, +0.0000, +0.0000, +0.0000",0.0,1,0,9,1,1.0,1.0,True,1.0,False,44.0,rms_kurt,0.0,1+/0-/9=
