dataset,short_name,method,metric,n_runs_with_lead,n_runs_tested,n_runs_excluded_unscoreable,run_diffs,median_diff_h,n_pos,n_neg,n_ties,n_effective,p_floor_two_sided,sign_test_p,all_same_sign,holm_p,holm_reject,family_size,ims_schema,validity_convention
ONGC,cusum,"CUSUM (k=0.5, h=5.0)",raw,1,1,0,+0.0018,0.0018333333333373503,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),n/a (raw lead carries no gate)
ONGC,deep_svdd,Deep SVDD,raw,1,1,0,+0.0122,0.0122222222222222,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),n/a (raw lead carries no gate)
ONGC,ewma,"EWMA (λ=0.2, k=3.0)",raw,1,1,0,-0.0121,-0.012111111111110517,0,1,0,1,1.0,1.0,True,,False,,invariant (D-2),n/a (raw lead carries no gate)
ONGC,hotelling_t2,Hotelling T²,raw,1,1,0,+0.1096,0.10961111111111421,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),n/a (raw lead carries no gate)
ONGC,isolation_forest,Isolation Forest,raw,1,1,0,+0.2046,0.20461111111110597,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),n/a (raw lead carries no gate)
ONGC,lstm_ae,LSTM-Autoencoder,raw,1,1,0,-0.1571,-0.15711111111111364,0,1,0,1,1.0,1.0,True,,False,,invariant (D-2),n/a (raw lead carries no gate)
ONGC,one_class_svm,One-Class SVM (nu=0.05),raw,1,1,0,+0.0039,0.0038888888888877204,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),n/a (raw lead carries no gate)
ONGC,rms_trend,RMS-Trend (kσ),raw,1,1,0,+4.5746,4.574611111111114,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),n/a (raw lead carries no gate)
ONGC,tcn,TCN-Autoencoder,raw,1,1,0,-0.1572,-0.15716666666666868,0,1,0,1,1.0,1.0,True,,False,,invariant (D-2),n/a (raw lead carries no gate)
ONGC,three_sigma,3σ Rule (σ=3.0),raw,1,1,0,-0.0117,-0.011666666666670267,0,1,0,1,1.0,1.0,True,,False,,invariant (D-2),n/a (raw lead carries no gate)
ONGC,transformer_ad,Transformer-AD,raw,1,1,0,+0.0039,0.0038888888888877204,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),n/a (raw lead carries no gate)
XJTU-SY,cusum,"CUSUM (k=0.5, h=5.0)",raw,10,10,0,"+0.0000, -0.0200, +0.0000, +0.0000, +0.0000, +0.0500, -0.0333, +0.0000, +0.0000, +0.0000",0.0,1,2,7,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
XJTU-SY,deep_svdd,Deep SVDD,raw,10,10,0,"+0.0667, +0.0000, +0.0000, -0.1700, +0.0000, +0.0000, +0.1333, -0.0067, +0.0000, +0.1267",0.0,3,2,5,5,0.0625,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
XJTU-SY,ewma,"EWMA (λ=0.2, k=3.0)",raw,10,10,0,"+0.0000, -0.0333, +0.0000, +0.0000, +0.0000, -0.0167, +0.0133, +0.0133, +0.0000, +0.0000",0.0,2,2,6,4,0.125,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
XJTU-SY,hotelling_t2,Hotelling T²,raw,10,10,0,"+0.0000, +0.0333, +0.0000, +0.0000, +0.0000, +0.8433, +0.0000, +0.0000, +0.0000, +0.0000",0.0,2,0,8,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
XJTU-SY,isolation_forest,Isolation Forest,raw,10,10,0,"+0.0000, -0.0567, +0.0417, -0.1167, -0.2444, -0.1167, -0.2333, +0.0133, -0.0889, -0.2000",-0.10277777777777772,2,7,1,9,0.00390625,0.1796875,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
XJTU-SY,lstm_ae,LSTM-Autoencoder,raw,3,3,0,"+0.1667, +0.0000, +0.0000",0.0,1,0,2,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
XJTU-SY,one_class_svm,One-Class SVM (nu=0.05),raw,10,10,0,"+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0633, +0.0000, +0.0000, +0.0000, +0.0000",0.0,1,0,9,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
XJTU-SY,rms_trend,RMS-Trend (kσ),raw,10,10,0,"+0.0000, +0.0000, +0.0500, -0.1667, +0.0000, +0.0000, +0.0000, +0.0333, +0.0000, -0.0667",0.0,2,2,6,4,0.125,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
XJTU-SY,tcn,TCN-Autoencoder,raw,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
XJTU-SY,three_sigma,3σ Rule (σ=3.0),raw,10,10,0,"+0.0000, +0.0333, +0.0000, +0.1533, +0.0000, +0.1167, -0.0033, +0.0000, +0.0000, +0.0000",0.0,3,1,6,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
XJTU-SY,transformer_ad,Transformer-AD,raw,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
FEMTO,cusum,"CUSUM (k=0.5, h=5.0)",gated_D7,6,6,0,"+0.2700, +0.1622, +0.0000, +0.0000, +0.0000, +0.0711",0.035555555555555556,3,0,3,3,0.25,0.25,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
