dataset,run,method,short_name,percentile,lead_time_hours,far_preonset_pct,valid_alarm
IMS,2nd_test,"EWMA (λ=0.2, k=3.0)",ewma,99.9,55.5,0.0,True
IMS,2nd_test,"CUSUM (k=0.5, h=5.0)",cusum,99.9,52.166666666666664,0.0,True
IMS,2nd_test,Hotelling T²,hotelling_t2,99.9,47.166666666666664,0.0,True
IMS,2nd_test,Isolation Forest,isolation_forest,99.9,0.0,0.0,False
IMS,2nd_test,Deep SVDD,deep_svdd,99.9,0.0,0.0,False
IMS,2nd_test,RMS-Trend (kσ),rms_trend,99.9,0.0,0.0,False
IMS,3rd_test,3σ Rule (σ=3.0),three_sigma,90.0,315.85,5.726872246696035,True
IMS,3rd_test,"EWMA (λ=0.2, k=3.0)",ewma,90.0,315.85,9.030837004405285,True
IMS,3rd_test,"CUSUM (k=0.5, h=5.0)",cusum,90.0,27.166666666666668,0.0,True
IMS,3rd_test,Hotelling T²,hotelling_t2,90.0,341.85,29.515418502202646,False
IMS,3rd_test,Isolation Forest,isolation_forest,90.0,341.01666666666665,8.370044052863436,True
IMS,3rd_test,Deep SVDD,deep_svdd,90.0,10.5,0.0,True
IMS,3rd_test,RMS-Trend (kσ),rms_trend,90.0,22.166666666666668,0.0,True
IMS,3rd_test,3σ Rule (σ=3.0),three_sigma,92.5,59.666666666666664,3.524229074889868,True
IMS,3rd_test,"EWMA (λ=0.2, k=3.0)",ewma,92.5,59.666666666666664,2.643171806167401,True
IMS,3rd_test,"CUSUM (k=0.5, h=5.0)",cusum,92.5,26.333333333333332,0.0,True
IMS,3rd_test,Hotelling T²,hotelling_t2,92.5,321.68333333333334,13.215859030837004,False
IMS,3rd_test,Isolation Forest,isolation_forest,92.5,315.85,3.0837004405286343,True
IMS,3rd_test,Deep SVDD,deep_svdd,92.5,10.5,0.0,True
IMS,3rd_test,RMS-Trend (kσ),rms_trend,92.5,14.666666666666666,0.0,True
IMS,3rd_test,3σ Rule (σ=3.0),three_sigma,95.0,59.666666666666664,0.881057268722467,True
IMS,3rd_test,"EWMA (λ=0.2, k=3.0)",ewma,95.0,59.666666666666664,2.2026431718061676,True
IMS,3rd_test,"CUSUM (k=0.5, h=5.0)",cusum,95.0,26.333333333333332,0.0,True
IMS,3rd_test,Hotelling T²,hotelling_t2,95.0,315.85,6.828193832599119,True
IMS,3rd_test,Isolation Forest,isolation_forest,95.0,315.85,2.4229074889867843,True
IMS,3rd_test,Deep SVDD,deep_svdd,95.0,10.5,0.0,True
IMS,3rd_test,RMS-Trend (kσ),rms_trend,95.0,10.5,0.0,True
IMS,3rd_test,3σ Rule (σ=3.0),three_sigma,97.5,28.833333333333332,0.0,True
IMS,3rd_test,"EWMA (λ=0.2, k=3.0)",ewma,97.5,28.0,0.0,True
IMS,3rd_test,"CUSUM (k=0.5, h=5.0)",cusum,97.5,26.333333333333332,0.0,True
IMS,3rd_test,Hotelling T²,hotelling_t2,97.5,315.85,4.845814977973569,True
IMS,3rd_test,Isolation Forest,isolation_forest,97.5,59.666666666666664,0.881057268722467,True
IMS,3rd_test,Deep SVDD,deep_svdd,97.5,10.5,0.0,True
IMS,3rd_test,RMS-Trend (kσ),rms_trend,97.5,9.666666666666666,0.0,True
IMS,3rd_test,3σ Rule (σ=3.0),three_sigma,99.0,28.0,0.0,True
IMS,3rd_test,"EWMA (λ=0.2, k=3.0)",ewma,99.0,27.166666666666668,0.0,True
IMS,3rd_test,"CUSUM (k=0.5, h=5.0)",cusum,99.0,26.333333333333332,0.0,True
IMS,3rd_test,Hotelling T²,hotelling_t2,99.0,42.166666666666664,0.0,True
IMS,3rd_test,Isolation Forest,isolation_forest,99.0,28.0,0.0,True
IMS,3rd_test,Deep SVDD,deep_svdd,99.0,9.666666666666666,0.0,True
IMS,3rd_test,RMS-Trend (kσ),rms_trend,99.0,3.8333333333333335,0.0,True
IMS,3rd_test,3σ Rule (σ=3.0),three_sigma,99.5,27.166666666666668,0.0,True
IMS,3rd_test,"EWMA (λ=0.2, k=3.0)",ewma,99.5,27.166666666666668,0.0,True
IMS,3rd_test,"CUSUM (k=0.5, h=5.0)",cusum,99.5,26.333333333333332,0.0,True
IMS,3rd_test,Hotelling T²,hotelling_t2,99.5,42.166666666666664,0.0,True
IMS,3rd_test,Isolation Forest,isolation_forest,99.5,27.166666666666668,0.0,True
IMS,3rd_test,Deep SVDD,deep_svdd,99.5,8.0,0.0,True
IMS,3rd_test,RMS-Trend (kσ),rms_trend,99.5,3.8333333333333335,0.0,True
IMS,3rd_test,3σ Rule (σ=3.0),three_sigma,99.9,25.5,0.0,True
IMS,3rd_test,"EWMA (λ=0.2, k=3.0)",ewma,99.9,27.166666666666668,0.0,True
IMS,3rd_test,"CUSUM (k=0.5, h=5.0)",cusum,99.9,26.333333333333332,0.0,True
IMS,3rd_test,Hotelling T²,hotelling_t2,99.9,27.166666666666668,0.0,True
IMS,3rd_test,Isolation Forest,isolation_forest,99.9,3.8333333333333335,0.0,True
IMS,3rd_test,Deep SVDD,deep_svdd,99.9,3.0,0.0,True
IMS,3rd_test,RMS-Trend (kσ),rms_trend,99.9,0.0,0.0,False
