dataset,method,n_runs,mean_diff_h,ci_lo_h,ci_hi_h,delta_h,verdict,ci_width_h
"IMS (invariant re-baseline, D-2)",Transformer-AD,3,22.328703703703706,-1.3888888888889142,68.79166666666669,1.0,inconclusive,70.1805555555556
XJTU-SY,3σ Rule (σ=3.0),10,0.03,0.0,0.06500833333333333,1.0,equivalent,0.06500833333333333
XJTU-SY,"CUSUM (k=0.5, h=5.0)",10,-0.0003333333333333299,-0.012000000000000033,0.013041666666666485,1.0,equivalent,0.025041666666666518
XJTU-SY,Deep SVDD,10,0.014999999999999996,-0.03766666666666668,0.06468333333333326,1.0,equivalent,0.10234999999999994
XJTU-SY,"EWMA (λ=0.2, k=3.0)",10,-0.0023333333333333097,-0.011666666666666648,0.005000000000000028,1.0,equivalent,0.016666666666666677
XJTU-SY,Hotelling T²,10,0.08766666666666666,0.0,0.2596666666666666,1.0,equivalent,0.2596666666666666
XJTU-SY,Isolation Forest,10,-0.10016666666666665,-0.16022361111111108,-0.04249583333333338,1.0,equivalent,0.11772777777777771
XJTU-SY,LSTM-Autoencoder,3,0.05555555555555566,0.0,0.16666666666666696,1.0,equivalent,0.16666666666666696
XJTU-SY,RMS-Trend (kσ),10,-0.015000000000000008,-0.05666666666666668,0.014999999999999996,1.0,equivalent,0.07166666666666667
XJTU-SY,TCN-Autoencoder,3,0.0,0.0,0.0,1.0,equivalent,0.0
XJTU-SY,Transformer-AD,3,0.0,0.0,0.0,1.0,equivalent,0.0
FEMTO,3σ Rule (σ=3.0),6,-0.20351851851851854,-0.43824074074074076,-0.04703703703703708,1.0,equivalent,0.39120370370370366
FEMTO,"CUSUM (k=0.5, h=5.0)",6,0.004074074074074101,-0.13027777777777774,0.14435185185185187,1.0,equivalent,0.2746296296296296
FEMTO,Deep SVDD,6,-0.01027777777777778,-0.03731481481481482,0.00871296296296291,1.0,equivalent,0.04602777777777773
FEMTO,"EWMA (λ=0.2, k=3.0)",6,0.0173148148148148,-0.08574074074074077,0.1286111111111111,1.0,equivalent,0.21435185185185185
FEMTO,Hotelling T²,6,0.032777777777777746,-0.17009259259259268,0.21226388888888864,1.0,equivalent,0.3823564814814813
FEMTO,Isolation Forest,6,-0.2569444444444445,-0.5436111111111112,-0.05739814814814818,1.0,equivalent,0.48621296296296296
FEMTO,LSTM-Autoencoder,6,-0.06921296296296296,-0.1609953703703704,0.016681712962962777,1.0,equivalent,0.17767708333333318
FEMTO,RMS-Trend (kσ),6,-0.12712962962962962,-0.3238888888888889,-0.007500000000000002,1.0,equivalent,0.3163888888888889
FEMTO,TCN-Autoencoder,6,-0.011165123456790091,-0.08006944444444443,0.0436111111111111,1.0,equivalent,0.12368055555555553
FEMTO,Transformer-AD,6,-0.00016203703703705774,-0.11451388888888893,0.072662037037037,1.0,equivalent,0.1871759259259259
Ferrara,3σ Rule (σ=3.0),6,-0.19342592592592597,-0.5191666666666667,0.0682407407407407,1.0,equivalent,0.5874074074074074
Ferrara,"CUSUM (k=0.5, h=5.0)",6,0.04291666666666668,0.0011111111111111228,0.1000462962962963,1.0,equivalent,0.09893518518518518
Ferrara,Deep SVDD,6,-0.00296296296296295,-0.007175925925925912,0.002361111111111133,1.0,equivalent,0.009537037037037045
Ferrara,"EWMA (λ=0.2, k=3.0)",6,-0.16425925925925924,-0.5598148148148148,0.0538900462962963,1.0,equivalent,0.6137048611111111
Ferrara,Hotelling T²,6,-0.06513888888888886,-0.45643518518518517,0.2154907407407406,1.0,equivalent,0.6719259259259258
Ferrara,Isolation Forest,6,-0.25685185185185183,-0.6130555555555555,-0.009907407407407426,1.0,equivalent,0.603148148148148
Ferrara,LSTM-Autoencoder,6,-0.18717592592592594,-0.6357716049382717,0.05709876543209872,1.0,equivalent,0.6928703703703704
Ferrara,RMS-Trend (kσ),6,-0.0086574074074074,-0.02833333333333332,0.005694444444444446,1.0,equivalent,0.03402777777777777
Ferrara,TCN-Autoencoder,6,-0.13685185185185192,-0.4560802469135803,0.0350779320987653,1.0,equivalent,0.4911581790123456
Ferrara,Transformer-AD,6,-0.2100771604938272,-0.7490277777777777,0.09634259259259259,1.0,equivalent,0.8453703703703703
ONGC,3σ Rule (σ=3.0),1,0.01055555555555543,0.01055555555555543,0.01055555555555543,1.0,untestable (n=1 run),0.0
ONGC,"CUSUM (k=0.5, h=5.0)",1,-0.017055555555558044,-0.017055555555558044,-0.017055555555558044,1.0,untestable (n=1 run),0.0
ONGC,Deep SVDD,1,0.00333333333333332,0.00333333333333332,0.00333333333333332,1.0,untestable (n=1 run),0.0
ONGC,"EWMA (λ=0.2, k=3.0)",1,-0.018777777777778226,-0.018777777777778226,-0.018777777777778226,1.0,untestable (n=1 run),0.0
ONGC,Hotelling T²,1,2.4057222222222236,2.4057222222222236,2.4057222222222236,1.0,untestable (n=1 run),0.0
ONGC,Isolation Forest,1,0.12127777777777737,0.12127777777777737,0.12127777777777737,1.0,untestable (n=1 run),0.0
ONGC,LSTM-Autoencoder,1,-0.26322222222222535,-0.26322222222222535,-0.26322222222222535,1.0,untestable (n=1 run),0.0
ONGC,RMS-Trend (kσ),1,0.0007222222222225128,0.0007222222222225128,0.0007222222222225128,1.0,untestable (n=1 run),0.0
ONGC,TCN-Autoencoder,1,-0.13438888888889267,-0.13438888888889267,-0.13438888888889267,1.0,untestable (n=1 run),0.0
ONGC,Transformer-AD,1,-0.005555555555559977,-0.005555555555559977,-0.005555555555559977,1.0,untestable (n=1 run),0.0
